Date,open,high,low,close,volume
2023-11-13,4271.114712019334,4313.748465263421,4250.445216299107,4265.08837890625,46628
2023-11-20,4243.472145707296,4273.355752367206,4208.6079379374,4214.88330078125,86574
2023-11-27,4214.883282761532,4308.020523120068,4198.6467177671275,4267.0302734375,143801
2023-12-04,4282.967813514082,4552.16927825921,4243.471747693772,4440.05615234375,228809
2023-12-11,4438.711756398852,4527.366457098919,4357.129606627505,4451.9599609375,99355
2023-12-18,4457.638096455274,4880.889491286028,4385.917438813982,4582.103515625,604793
2023-12-25,4582.103457518155,5100.135589815698,4582.103457518155,4958.935546875,639109
2024-01-01,4916.002687252208,5030.3575822197745,4783.369375056688,4836.96044921875,151565
2024-01-08,4842.140526489469,4930.795228579073,4681.765166529625,4721.01220703125,233777
2024-01-15,4768.72640237711,4786.35792581571,4491.506324142151,4562.08154296875,201591
2024-01-22,4562.081365670361,4671.704203220751,4392.890246102625,4653.17626953125,72853
2024-01-29,4656.812203294764,4772.013404172631,4532.34679296403,4649.59033203125,120426
2024-02-05,4532.346789822789,4631.411135640779,4333.122755105303,4380.9365234375,248954
2024-02-12,4430.593159665137,4430.593159665137,4233.560299796748,4290.78759765625,118715
2024-02-19,4334.6172235836575,4388.109075016811,4280.926439934641,4292.8798828125,99861
2024-02-26,4304.135773976312,4354.041494422417,4237.49542833973,4295.619140625,107683
2024-03-04,4293.278186349415,4351.053159622794,4196.654524150831,4217.5234375,101969
2024-03-11,4238.441872257945,4238.441872257945,4034.2868411375052,4042.5546875,128749
2024-03-18,4054.059794269822,4168.762935222047,4011.1767720681046,4095.299072265625,101865
2024-03-25,4095.2992889525863,4111.237212606765,4005.3994383407353,4019.19580078125,124993
2024-04-01,4081.1047789546246,4392.890425967756,4029.3563791513543,4338.05419921875,131187
2024-04-08,4379.940650712994,4440.703984734712,4259.410102899423,4331.23046875,85446
2024-04-15,4245.763264848257,4313.200802199513,4163.782760552879,4279.38232421875,77185
2024-04-22,4322.16555761089,4580.907780148209,4246.011973593301,4464.46142578125,149261
2024-04-29,4464.4618075749,4485.3302357648145,4273.455742456802,4281.5244140625,64474
