Date,open,high,low,close,volume
2025-11-03,206.4499969482422,215.69000244140625,204.99000549316406,215.55999755859375,1701001
2025-11-04,216.0,222.0,212.30999755859375,213.85000610351562,1266027
2025-11-06,215.99000549316406,215.99000549316406,203.14999389648438,203.30999755859375,795050
2025-11-07,202.99000549316406,207.64999389648438,198.4499969482422,206.1199951171875,758593
2025-11-10,206.74000549316406,206.74000549316406,195.80999755859375,195.80999755859375,757008
2025-11-11,196.0,199.6999969482422,186.14999389648438,187.0500030517578,853203
2025-11-12,193.0,196.39999389648438,188.2100067138672,196.39999389648438,781465
2025-11-13,196.1999969482422,197.5,190.57000732421875,191.55999755859375,504925
2025-11-14,192.5,200.0,188.86000061035156,198.4499969482422,613828
2025-11-17,203.25,207.14999389648438,195.74000549316406,197.88999938964844,1851249
2025-11-18,201.00999450683594,201.44000244140625,191.10000610351562,192.0399932861328,634330
2025-11-19,192.9499969482422,193.89999389648438,182.75999450683594,184.2100067138672,964543
2025-11-20,184.99000549316406,188.64999389648438,182.42999267578125,183.1999969482422,396717
2025-11-21,184.4499969482422,184.4499969482422,174.0399932861328,174.17999267578125,711978
2025-11-24,175.00999450683594,176.35000610351562,166.0,167.1199951171875,672036
2025-11-25,169.89999389648438,173.6999969482422,167.3000030517578,171.3000030517578,525759
2025-11-26,173.0,173.14999389648438,167.0,169.9199981689453,536356
2025-11-27,169.89999389648438,169.89999389648438,163.3000030517578,164.36000061035156,478761
2025-11-28,165.75,167.63999938964844,161.1999969482422,163.92999267578125,662422
2025-12-01,163.92999267578125,163.92999267578125,157.6699981689453,158.8300018310547,338932
2025-12-02,159.6999969482422,159.6999969482422,150.8800048828125,150.8800048828125,813676
2025-12-03,150.88999938964844,151.67999267578125,145.39999389648438,146.4600067138672,548801
2025-12-04,146.3000030517578,150.5,144.69000244140625,148.38999938964844,562437
2025-12-05,149.0,149.0,142.0,142.4199981689453,327664
2025-12-08,143.10000610351562,145.58999633789062,135.2899932861328,135.2899932861328,660874
2025-12-09,133.0,140.60000610351562,129.0,137.50999450683594,1150435
2025-12-10,136.0,144.3800048828125,136.0,144.3800048828125,233651
2025-12-11,151.58999633789062,151.58999633789062,138.50999450683594,150.7899932861328,3201442
2025-12-12,151.60000610351562,158.32000732421875,148.10000610351562,158.08999633789062,1063640
2025-12-15,160.0,165.99000549316406,158.11000061035156,165.99000549316406,657544
2025-12-16,169.0,173.0,166.08999633789062,168.7100067138672,1420496
2025-12-17,169.0,170.0399932861328,160.27999877929688,160.27999877929688,480515
2025-12-18,155.02999877929688,158.27999877929688,152.27000427246094,152.60000610351562,469228
2025-12-19,152.89999389648438,155.58999633789062,148.49000549316406,152.22999572753906,616122
2025-12-22,153.49000549316406,159.83999633789062,153.49000549316406,159.83999633789062,259374
2025-12-23,160.5500030517578,161.38999938964844,151.85000610351562,151.85000610351562,1670197
2025-12-24,150.3000030517578,158.99000549316406,148.0,155.7899932861328,2438056
2025-12-26,157.8000030517578,157.8000030517578,152.19000244140625,153.86000061035156,418321
2025-12-29,154.39999389648438,155.0,148.86000061035156,149.61000061035156,347309
2025-12-30,150.75,150.75,143.24000549316406,144.9600067138672,377316
2025-12-31,147.60000610351562,149.49000549316406,143.0,147.07000732421875,501064
2026-01-01,149.0,154.4199981689453,147.0,154.4199981689453,847132
2026-01-02,154.0,162.13999938964844,151.5,162.13999938964844,585317
2026-01-05,161.0,166.32000732421875,154.0399932861328,155.69000244140625,791612
2026-01-06,156.0,158.75,152.86000061035156,155.80999755859375,434765
2026-01-07,156.0,157.0500030517578,152.1199951171875,152.97000122070312,195738
2026-01-08,152.99000549316406,155.0,146.86000061035156,148.69000244140625,220841
2026-01-09,149.89999389648438,156.1199951171875,142.4199981689453,143.6699981689453,938714
2026-01-12,142.9499969482422,148.3000030517578,140.9499969482422,144.14999389648438,441932
2026-01-13,147.5,148.85000610351562,140.0,141.36000061035156,229305
2026-01-14,143.0,145.38999938964844,139.25,140.44000244140625,417428
2026-01-15,140.44000244140625,140.44000244140625,140.44000244140625,140.44000244140625,0
2026-01-16,140.52000427246094,146.77999877929688,138.5,139.27999877929688,578164
2026-01-19,139.0,140.91000366210938,137.10000610351562,138.07000732421875,289853
2026-01-20,138.0,140.0,131.1699981689453,131.41000366210938,684308
2026-01-21,129.25,132.99000549316406,125.45999908447266,126.20999908447266,520188
2026-01-22,127.4800033569336,129.6300048828125,123.01000213623047,124.3499984741211,497919
2026-01-23,126.4000015258789,126.4000015258789,118.13999938964844,118.20999908447266,493475
2026-01-27,118.5,118.81999969482422,112.5199966430664,113.61000061035156,530581
2026-01-28,113.62999725341797,119.1500015258789,113.62999725341797,114.94000244140625,457325
2026-01-29,118.0,118.0,110.0999984741211,111.79000091552734,685292
2026-01-30,111.94999694824219,113.69999694824219,106.20999908447266,106.25,1607446
2026-02-02,98.41999816894531,101.98999786376953,96.01000213623047,100.83000183105469,1028294
2026-02-03,105.87000274658203,105.87000274658203,98.97000122070312,103.27999877929688,1257590
2026-02-04,104.0,108.44000244140625,102.5999984741211,108.44000244140625,460004
2026-02-05,113.66000366210938,113.86000061035156,104.4000015258789,105.38999938964844,1224033
2026-02-06,104.0,108.45999908447266,100.12999725341797,107.45999908447266,854903
2026-02-09,108.69999694824219,112.83000183105469,107.11000061035156,112.83000183105469,731051
2026-02-10,114.0,118.47000122070312,113.26000213623047,118.47000122070312,888103
2026-02-11,119.0,120.72000122070312,112.55000305175781,114.01000213623047,939172
2026-02-12,115.0,119.70999908447266,112.31999969482422,116.81999969482422,928460
2026-02-13,116.80000305175781,116.80000305175781,110.9800033569336,111.05999755859375,1012585
2026-02-16,116.0,116.61000061035156,112.5,116.61000061035156,515108
2026-02-17,118.0,122.44000244140625,116.86000061035156,122.44000244140625,883589
2026-02-18,126.5999984741211,128.55999755859375,123.5,125.62000274658203,1557022
2026-02-19,127.0,127.58999633789062,119.75,120.33999633789062,478193
2026-02-20,119.62999725341797,122.69999694824219,117.3499984741211,119.80999755859375,416186
2026-02-23,122.0,124.9000015258789,120.16999816894531,121.1500015258789,596905
2026-02-24,120.98999786376953,122.16999816894531,116.12000274658203,117.36000061035156,537620
2026-02-25,118.80000305175781,119.5,112.22000122070312,113.7300033569336,495441
2026-02-26,116.94999694824219,117.4000015258789,111.31999969482422,113.6500015258789,323158
2026-02-27,113.9000015258789,114.5199966430664,110.45999908447266,111.33999633789062,251399
2026-03-02,105.77999877929688,107.98999786376953,105.77999877929688,105.77999877929688,673692
