Date,open,high,low,close,volume
2025-11-03,163.60000610351562,167.9499969482422,163.60000610351562,165.92999267578125,93727
2025-11-04,165.8800048828125,167.17999267578125,163.0,164.5,60077
2025-11-06,163.10000610351562,164.0,160.0,160.4199981689453,130498
2025-11-07,159.89999389648438,161.4600067138672,154.61000061035156,158.4600067138672,190238
2025-11-10,160.0,163.5,159.1999969482422,160.88999938964844,90410
2025-11-11,160.0,161.2899932861328,158.0,159.11000061035156,65219
2025-11-12,160.6999969482422,163.89999389648438,147.80999755859375,150.86000061035156,1045955
2025-11-13,150.11000061035156,150.94000244140625,142.5,143.2100067138672,519301
2025-11-14,143.2100067138672,145.1999969482422,140.11000061035156,142.8699951171875,222828
2025-11-17,142.99000549316406,143.4499969482422,139.0,139.3300018310547,186039
2025-11-18,140.0,141.0,135.64999389648438,135.8699951171875,366705
2025-11-19,137.0,137.0,131.10000610351562,132.85000610351562,309486
2025-11-20,133.10000610351562,135.9600067138672,132.0,134.0,189453
2025-11-21,133.0,133.72999572753906,128.0,128.61000061035156,199591
2025-11-24,129.0,129.30999755859375,123.11000061035156,124.29000091552734,199291
2025-11-25,123.25,132.38999938964844,123.25,130.14999389648438,428861
2025-11-26,131.19000244140625,136.0,130.0,133.5399932861328,351414
2025-11-27,133.85000610351562,140.49000549316406,133.4199981689453,136.66000366210938,335865
2025-11-28,136.5,136.5,133.55999755859375,134.49000549316406,73692
2025-12-01,133.5,142.5,132.6999969482422,140.6199951171875,313691
2025-12-02,140.3699951171875,148.13999938964844,140.35000610351562,144.77000427246094,400276
2025-12-03,145.0,145.8000030517578,139.10000610351562,140.5500030517578,134002
2025-12-04,141.42999267578125,142.5,137.41000366210938,139.7899932861328,89616
2025-12-05,139.10000610351562,139.10000610351562,135.0,135.4199981689453,99496
2025-12-08,135.39999389648438,135.41000366210938,129.36000061035156,131.9199981689453,225213
2025-12-09,132.0,134.5,129.0,132.60000610351562,106792
2025-12-10,132.8000030517578,134.8000030517578,129.0,129.89999389648438,103472
2025-12-11,131.89999389648438,131.89999389648438,128.6999969482422,130.27999877929688,105751
2025-12-12,130.64999389648438,131.75,129.3000030517578,130.85000610351562,111680
2025-12-15,130.8000030517578,134.0,129.3000030517578,131.5500030517578,96130
2025-12-16,131.64999389648438,131.67999267578125,129.8000030517578,130.36000061035156,54720
2025-12-17,130.36000061035156,132.00999450683594,129.0,129.64999389648438,101183
2025-12-18,129.49000549316406,130.08999633789062,127.5199966430664,128.0399932861328,96474
2025-12-19,128.16000366210938,130.60000610351562,128.0,129.92999267578125,91194
2025-12-22,130.39999389648438,134.11000061035156,130.39999389648438,133.0399932861328,97027
2025-12-23,134.0,156.75,133.2899932861328,152.33999633789062,9592697
2025-12-24,148.0,156.33999633789062,147.39999389648438,149.55999755859375,2117764
2025-12-26,149.14999389648438,151.5800018310547,146.42999267578125,148.7899932861328,272084
2025-12-29,148.0,148.22999572753906,142.02000427246094,143.55999755859375,185976
2025-12-30,144.3300018310547,159.88999938964844,142.25999450683594,150.14999389648438,3845401
2025-12-31,151.35000610351562,152.6999969482422,148.35000610351562,150.42999267578125,285530
2026-01-01,151.39999389648438,154.25999450683594,149.25,151.5399932861328,185418
2026-01-02,151.5399932861328,154.88999938964844,150.0,152.0800018310547,282619
2026-01-05,152.25,154.42999267578125,147.0,147.74000549316406,193989
2026-01-06,147.75,157.85000610351562,147.74000549316406,154.41000366210938,661205
2026-01-07,155.39999389648438,157.39999389648438,153.6300048828125,154.75,262092
2026-01-08,153.1999969482422,154.49000549316406,149.49000549316406,152.27999877929688,162115
2026-01-09,151.6999969482422,152.3000030517578,147.5,149.16000366210938,158377
